No.,Papers,Year,Venues,Link
77,The impact of 3D visualization types in instructional multimedia applications for teaching science,2012,Procedia - Social and Behavioral Sciences,https://pdf.sciencedirectassets.com/277811/1-s2.0-S1877042811X00241/1-s2.0-S1877042811029612/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEIv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQD333Z0D45wUVhZ8LvjEJD4rrY%2B83FNHFL4nUUj%2BdZqIgIhAIVgy7ACYxZvfBqeRhu0fxLTmH9qmpWFndUU4KeiL7wXKrMFCBQQBRoMMDU5MDAzNTQ2ODY1IgykiP2VKnrvB6dlHcwqkAUKgFDGH8c1XjIVwiVLWX628%2BZHzbuq37T%2FEbmtRYtBxwf61GP7X%2Bntgw8Pd2%2FGSZsghfzczyNyitt1PgXiCRwtHwysoyOhVWh6W8pHdQ6%2B6z8pIGn0zNglGZJlYCWbUpKoownLvW%2FXA7shmOU9VNmanE87cb4ZNO8q4RF90jHrcP6ktXvoFNnn8hE%2FykNh3F6YfABlLz3OC64349mxmxp8JCzxCf7p0qNTmxIZUTKBBxKhduKK7iU6bCxMRA8LPtnUQ5MmwszVTcgWI9ZJUhkKpQGYqKJuZmtPSUZAZ2AZpHYSACcrCm%2FFWYI%2B4efkkQ4WpfREmwb80FfM8Iu6D5ykb92tBn8MXuNu5sl9GcWgSQUXvxHj6ya%2B%2BZyif6FxqgG0Mwk3kearx7ywjfng6PXlNyowkH0bEKmyfwPeZyEgdD47W6Ys8LLebL%2BC8rBUpCBv5vPGPm4SLq4neDkJhIW1V2iDGh%2FwsXbdxLIIMZQurdTkkFYz%2FFE1j%2BYmzVOIX1MpIPf%2Fr6PDWKuFGZV%2FSDA4XkGeS6OvBkRxLf9zGXqTGsEh9HmcknfcSpfcf4gSDr9IAKX4puHcaTVZquhBypN9LlRNGtgdtF47lfA%2BoaDe3lvc7j4yOQYtGMjmrbcj8zm0al4gok9BrMzTE6dq2TrMAj7sLM2mwdeu%2FVv8qF784YsJlTrq8jI8KPUJVlFle2VgTlqjR9Gh3THdkuKtuPcrHvR3gC7LhBjp6vUJ%2F%2BUVUBBVsAup0kORbNOL%2FHBfLtcdd9pHpaXbspy%2F7WUesmxN7WjSZ0uwtkBN1R6nUd5yVm4nDt6qbDElzGV1lm0kapaqnKaigFuALa3s7mglxIe1o%2FasmFDNNuYuuEdkQMp4sTDNrJCsBjqwAb7a6WjaqC4AKwtUP7FyJdxyZPjr7j9mzQClSD6H%2F7KQoL3YtKnK%2BFcyEYZCS5fDZcP3%2FCrT328H0YFN8bdRUEofTUUOWk7WKEhyXBSjuWYjVmBqE6%2BrK9cugQvP4lJQjL10dtj%2FBshcnl4bHXvitpbDsjrmRZLxmFP3deLD6%2B3FU9lp01UuEDS5NAF2JdwW8nnHh0XWaZE%2FniHp%2BFtXDuGxx56JtqGwxBn7lFOlCP3%2F&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231221T114503Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYXYVYZM4O%2F20231221%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f3f14e67f27d434d87e2cb91c1f96967554baeffa4ffffad1bc9be77f1dddc43&hash=a28a3d9377cccc886550fc9ef60fa85c31442f191e949c492b92babd00d49e3e&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1877042811029612&tid=spdf-7a1577f4-f835-4cc8-893d-a21de46a7cc0&sid=bda4e12232d8d34f8a091f78aead56f2e028gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f1559555c07075f5401&rr=838fe06ecfcf2c9f&cc=us
78,behaviorism : A Framework for Dynamic Data Visualization,2010,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613455
79,Attractive Flicker Guiding Attention in Dynamic Narrative Visualizations,2014,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876019
80,"Emotions, Words and Colors: A Strategy to Visualize and Analyze Patterns from Visitors' Narratives in Museums",2013,IV,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676617&casa_token=SojiR7StY5YAAAAA:HbeEUDinFmxoK6KT7bRE03lhjUCltszka2Xd2XY4ofjzqr5nxGtHEZPT8tjrw5krHeuSLU_y
81,Narrative as a Key Element for Learning Through Videos,2023,ETCM,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10309024
82,Temporal Summary Images: An Approach to Narrative Visualization via Interactive Annotation Generation and Placement,2016,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539294&casa_token=Dh8Y3Gj0mwIAAAAA:1DgmJJ5bb5XvS3ySTxWxfARgMJRKYdCoE5_08HfLKROMDkYnVPFrwPIYT2T0Ch7TCkFKGJdE
83,From Data to Story: Towards Automatic Animated Data Video Creation with LLM-based Multi-Agent Systems,2024,GEN4DS/VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10766492
84,The backstory to “swaying the public”: A design chronicle of election forecast visualizations,2024,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10672524&casa_token=w_L92sHbNU0AAAAA:3AO4RMERBj-LSNrFK1gZ5J3NpYgMmk8gejyKFu5a4_3cuUdZ6ni5g90esrAfiYgJvXCWRlIX
85,Incorporating mental imagery into geospatial environments for narrative visualizations,2024,other,https://onlinelibrary.wiley.com/doi/pdf/10.1111/tgis.13187
86,Scrolly2Reel: Retargeting Graphics for Social Media Using Narrative Beats,2024,other/arxiv,https://arxiv.org/pdf/2403.18111
87,"Mixing Modes: Active and Passive Integration of Speech, Text, and Visualization for Communicating Data Uncertainty",2024,other/arxiv,https://arxiv.org/pdf/2404.08623
88,Feature-Action Design Patterns for Storytelling Visualizations with Time Series Data,2024,other/arxiv,https://arxiv.org/pdf/2402.03116
89,Animated Narrative Visualization for Video Clickstream Data,2016,SIGGRAPH-ASIA,https://dl.acm.org/doi/pdf/10.1145/3002151.3002155?casa_token=ZvnkXUnbgTUAAAAA:weqXJ_qZtnv1wvRKWdzerCUofT5Zlwoc5_IXVnba-Zf-lJ98gbGEecfE43pg_8Ty8OkF5jyQFGQ
90,Data Playwright: Authoring Data Videos with Annotated Narration,2024,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10720675
91,Leveraging Foundation Models for Crafting Narrative Visualization: A Survey,2024,other/arxiv,https://arxiv.org/pdf/2401.14010
92,Seeing Your Stories: Visualization for Narrative Medicine,2024,Health Data Science,https://spj.science.org/doi/pdf/10.34133/hds.0103
93,Motion-Based Visual Encoding Can Improve Performance on Perceptual Tasks with Dynamic Time Series,2024,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10669974&casa_token=d9dhJ8k9CYMAAAAA:L2JFAmlN7pKCAsZ5NiNmSv2fA9MseTXmjbyEAl2niJzmynMjm5zEGIDwz_joqcJJaczqQbtd
94,Illustrative Motion Smoothing for Attention Guidance in Dynamic Visualizations,2023,EuroVis,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14836
95,Deimos: A Grammar of Dynamic Embodied Immersive Visualisation Morphs and Transitions,2023,CHI,https://dl.acm.org/doi/pdf/10.1145/3544548.3580754?casa_token=mhrgorsRbE0AAAAA:b72nQlljTEHE_jtvI42zCF_d5t4vfutlmNTEiBMRA4g35SGJ7TWnrdvOKuvFywxhw6oVKcBp5qQ
96,Animated Vega-Lite: Unifying Animation with a Grammar of Interactive Graphics,2022,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914804&casa_token=RyOXF_8xuT4AAAAA:r04FNZt1RxLcivMLoy9vTt-WkoMYBHToxqqTTojKFBF8wJpX3xVzPqSlctAhq36AopHvEl4k
97,Investigating the Role and Interplay of Narrations and Animations in Data Videos,2022,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14560
98,Animated Presentation of Static Infographics with InfoMotion,2021,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14325
99,Gemini: A Grammar and Recommender System for Animated Transitions in Statistical Graphics,2020,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234027&casa_token=2zkc8PQkHCEAAAAA:DihSiltlwZVlXpboQx779zTLiQ5NrDmcJd0p_UKsbljaoBwh2CoRwo-UqJG4Lzpah5C3HdEo
100,Canis: A High-Level Language for Data-Driven Chart Animations,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14005
101,Reading Traces: Scalable Exploration in Elastic Visualizations of Cultural Heritage Data,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13964
102,A Comparative Evaluation of Animation and Small Multiples for Trend Visualization on Mobile Phones,2019,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8805428&casa_token=AaRSl8TrJdMAAAAA:vXfXbzj_FkLk5Jh8p6e-1uAw8BbNuxli5PnW6RdukpBefkxk3V1VNXaGQZOM0iqkhhlABCC9
103,Designing Animated Transitions to Convey Aggregate Operations,2019,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13709
104,Optimizing Stepwise Animation in Dynamic Set Diagrams,2019,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13668
105,Using Animation to Alleviate Overdraw in Multiclass Scatterplot Matrices,2018,CHI,https://dl.acm.org/doi/pdf/10.1145/3173574.3173991?casa_token=B0LKWyZjO2sAAAAA:hZOWaKptqTgw-Er4-GIByHNPr9tRJAtp9GUiSeztpvGqwbp9rLIN2oZMEV9bwvAkGIgnA5UKgeo
106,"Fast, Cheap, and Good: Why Animated GIFs Engage Us",2016,CHI,https://dl.acm.org/doi/pdf/10.1145/2858036.2858532?casa_token=gyUuNBR9h_wAAAAA:JMOMonahLrlSXr1UIBgMh1xfqqMmROjj_z2_NWPsIQlLgXsi1us9th9VLtQKdnpWhHXj5BdWI74
107,Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems,2013,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634197&casa_token=FoyoLu-QPPIAAAAA:xEC3JQHX2kO-0Xz_mgCjrXh-nvwvVr1EPu651rQtfFV_ELiDj_qu5u_7UUo0Rp7Ke3DJXdez
108,Visualizing Large-scale Parallel Communication Traces Using a Particle Animation Technique,2013,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12101
109,A Qualitative Study on the Exploration of Temporal Changes in Flow Maps with Animation and Small-Multiples,2012,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2012.03093.x
110,"Visualizing Motion Data in Virtual Reality: Understanding the Roles of Animation, Interaction, and Static Presentation",2012,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2012.03114.x
111,Evaluation of Cluster Identification Performance for Different PCP Variants,2010,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2009.01666.x
112,Using text animated transitions to support navigation in document histories,2010,CHI,https://dl.acm.org/doi/pdf/10.1145/1753326.1753427?casa_token=f-YzbEK59UMAAAAA:8komNPrUPt_x0h-uwzBSDg2SexotBzgzSo-05J_r9kR5cFNhqZVKrmUGvOw9QeVSR7dWZj2GQG4
113,Charting EDA: Characterizing Interactive Visualization Use in Computational Notebooks with a Mixed-Methods Formalism,2024,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10713350
114,FPCS: Feature Preserving Compensated Sampling of Streaming Time Series Data,2024,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10669793
