,Static Single Frame,Static Multi Frame,Animated Linear,Animated Non Linear,Animated Real Time,Hybrid Time Dimension,Static Single View,Static Multi View,Animated Localized,Animated Global,Animated Path,Hybrid Space Dimension,Emphasizing Actions,Explaining Concepts,Conveying Emotions,Creating Atmosphere,Stepwise Cluster Formation,Spatial Cluster Boundary,Force Directed Cluster,Incremental Classification Boundary,Tree Expansion,Progressive Manifold Projection,Hybrid Cluster,Non Interactive,Semi Interactive,Fully Interactive,Emotional Experience,Cognitive Optimization,Immersive Experience,Inspiring Experience,Information Overload,Visual Fatigue,Interaction Confusion,Emotional Burden,Rule Based,AI or ML Generative,Real Time,Virtual Reality (VR),Augmented Reality (AR),Eye Tracking,Motion Sensing Devices,Multi Modal Interaction,Education,Journalism,Social Advocacy,Business,Healthcare,Environmental Science,Academic Research
Animated Path,0.6623689693595929,0.5163040893981279,0.8070407636990113,0.6421557822893796,0.45337583832221356,0.6746009087756025,0.6047875624700714,0.4900310614923644,0.6633657629549192,0.799224187186626,1.0,0.734365153731468,0.7403822770658768,0.7513856332426961,0.6393767726513133,0.7166972975202411,0.6162555245790095,0.5305802246335513,0.030081934444493055,0.3241724952871695,0.6234223786365659,0.3883922282198064,0.6800114267720363,0.8181910701033969,0.7017900558182517,0.4492978246128826,0.6411827669961236,0.7192412649081715,0.7557739062658094,0.573523613301604,0.6747003414401229,0.5192868177323239,0.5305093423039836,0.45337583832221356,0.6972510705434101,0.3135935509104075,0.1570128383597602,0.1023944459118173,0.1902548585369404,-0.1023944459118172,0.20362199405250028,0.35403775792757775,0.7014669367794718,0.6780986137051637,0.7191262644907314,0.7421742124946991,0.23892037379424028,0.678739980175001,0.7180577607908792
Hybrid Space Dimension,0.6579755140144893,0.6012973929145791,0.8142466304954366,0.924519825106462,0.6555675355193422,0.9740540281773722,0.7066862693398677,0.5758481950627662,0.8899267119123894,0.8891163149565288,0.734365153731468,1.0,0.9319724838907164,0.9249440273604927,0.6241774361840172,0.7093657043796865,0.8116476606756052,0.819583835427888,0.2565638643616943,0.4803762066349902,0.5474760231502991,0.6724002975601493,0.8865836569038729,0.9007066035842515,0.667540177008595,0.7260120458500374,0.7319619559649226,0.9470103914531167,0.9018243693463015,0.8349078163727782,0.9170003911759694,0.7894773142317655,0.8478940688633465,0.5691190692970113,0.9316667284544464,0.645823337052224,0.4760057961911966,0.2820853611789858,0.545670702898112,-0.04637019635818944,0.2407756553916265,0.5711721054582583,0.9247289933763173,0.84171099321431,0.7191712430756367,0.7590256280962047,0.5332572581191786,0.8926629351487427,0.9022786697886921
Emphasizing Actions,0.5959658306636407,0.7477345391356585,0.8676267102710369,0.9541951986713502,0.5128565056089285,0.9407172964473111,0.6721041486139654,0.7227665629059635,0.9450325999790045,0.9057399586556093,0.7403822770658768,0.9319724838907164,1.0,0.9693690603118723,0.7197044920875025,0.6569021043890353,0.7668891521148014,0.9060129056627263,0.39410014497638796,0.3301007616317387,0.5844021393154955,0.6272424141493074,0.9147207234328003,0.8698596311038151,0.7371121253833726,0.7878682393122163,0.7975868698489766,0.9812400753318393,0.834886762501285,0.9357462738586962,0.8825597804913231,0.7680941946541375,0.7890219506218329,0.5603965749490818,0.9590577136854741,0.5280818310538301,0.33019561423734584,0.23800069761188258,0.5283657869040163,0.006181836301607319,0.14546981440830356,0.5149855955906516,0.9749357772164924,0.9200141062621211,0.6757987798385379,0.8244508756731518,0.4080011959060844,0.8533546155078655,0.9618074032732908
Explaining Concepts,0.6788828577642427,0.7682970632055277,0.8967837432121258,0.9563970684262868,0.52650055893329,0.9448568317477251,0.7314672199784992,0.7748807651082236,0.934868691589163,0.9567643991464849,0.7513856332426961,0.9249440273604927,0.9693690603118723,1.0,0.8241766359922459,0.7116104982643321,0.7886474167430032,0.8727026453040825,0.3982456830401936,0.31471895920649035,0.5279138719240443,0.6427259876700476,0.9249109692339975,0.9070519571802413,0.7702618686037803,0.7975886538929159,0.8213337944331367,0.9871490107732456,0.8734928406846995,0.9364338177780996,0.8932154905798029,0.7747657498463856,0.7972341962164902,0.673920715434611,0.9802510328833426,0.5535427610648104,0.3810850533977767,0.31629949739260843,0.5709114201205474,-0.04518564248465832,0.26956903404291915,0.5370520147193485,0.9942336775594968,0.9138893945613163,0.7432512054970072,0.8515365033138463,0.33136137822082784,0.84614724574583,0.9962660804772165
Conveying Emotions,0.7661887141588314,0.7813882767796444,0.8054927570578412,0.7122653785977445,0.34860303005414,0.6725662833576597,0.7567409145609626,0.8496746639816678,0.7442504427127277,0.8483185268249414,0.6393767726513133,0.6241774361840172,0.7197044920875025,0.8241766359922459,1.0,0.7409303215409705,0.5652451216462717,0.592562015312165,0.3171196844312742,0.15786334329702298,0.3944059801517658,0.3183620954219913,0.6487375412099001,0.785996866104248,0.7782050514329659,0.5746786361650079,0.6918929618393667,0.7685357632541968,0.7109896439195618,0.7331380221211026,0.6655633679948862,0.6250129551982715,0.5403322435762671,0.8299128954129809,0.7769803691294696,0.40533051443314466,0.2584905048238733,0.4334712473608559,0.4895659102988441,0.09349379845038068,0.3267722317103504,0.5289758024359793,0.7964205322546142,0.7400953852360412,0.776000895042739,0.7639083632016629,-0.03399774489104753,0.5605833975031013,0.8299055247742012
Creating Atmosphere,0.6541642575852642,0.4554101009612049,0.749306564508711,0.585034191600894,0.705628543825493,0.7394798959252135,0.6137860549392455,0.42221335311304703,0.7170525185266169,0.7966413896107967,0.7166972975202411,0.7093657043796865,0.6569021043890353,0.7116104982643321,0.7409303215409705,1.0,0.59548312901832,0.42248220690989224,-0.07010149976469499,0.5018874068848185,0.4549288636912397,0.3784215230950861,0.6078171232458893,0.8474994424971422,0.6188849520535783,0.2781665400550634,0.48517966449118527,0.6940423795857624,0.814093990668609,0.4902464163025278,0.6914615930359982,0.6378471020828563,0.4746921821777707,0.7228857636473123,0.615327151388084,0.7541828651599531,0.38271796890706955,0.6006518394578404,0.611532156276397,0.14810593301700178,0.4308777554844842,0.5494290644258594,0.6792792459529022,0.6987967882667918,0.9382752685269663,0.7395219969510743,0.10696539606783462,0.7144934932717396,0.6816535454664324
Stepwise Cluster Formation,0.6723260220243839,0.5685471030286655,0.6769461892733638,0.8101954139135781,0.6383939008349109,0.7635209476964993,0.696311695989688,0.5007347888319099,0.801824964622467,0.8071318744658977,0.6162555245790095,0.8116476606756052,0.7668891521148014,0.7886474167430032,0.5652451216462717,0.59548312901832,1.0,0.8376949040535224,0.27207836985740397,0.3137325411260368,0.35729436103230305,0.8597610377257028,0.7419863709411018,0.6544748670189837,0.3993620100099271,0.8195715091330986,0.6782008994921099,0.7889482765462983,0.8096654449516333,0.7622901815613564,0.8398110364815145,0.6935146895678039,0.8750807945586407,0.5132541873189767,0.803827498044722,0.5124445488823867,0.5032059067306777,0.44360103514492866,0.5928719560238492,-0.1011721659102469,0.36627145622691226,0.7164411019482614,0.7875241496628631,0.6449312460903199,0.6228030710523753,0.6204972205684106,0.40468866364098754,0.8331385940936105,0.7913501293069499
Spatial Cluster Boundary,0.5071658746386621,0.7128636895945579,0.7207327635098162,0.9349791827508585,0.47838055133603735,0.8266223668915793,0.6049699227805198,0.6712966542635895,0.9012877340836759,0.7834856133996688,0.5305802246335513,0.819583835427888,0.9060129056627263,0.8727026453040825,0.592562015312165,0.42248220690989224,0.8376949040535224,1.0,0.48138980003504694,0.18770532970221393,0.4300082614081437,0.7595828244492444,0.8467506684047543,0.6547194437612488,0.5213272277306369,0.9057286932076067,0.7374412444276257,0.9003433306396753,0.7140149094380592,0.9357003312509096,0.7882064380768173,0.7193424767179228,0.8640514453574943,0.423019003852045,0.8989558746073423,0.4010923937377455,0.39386127165127394,0.25583769529632877,0.5659063979493502,-0.0182741210925949,0.10498218870465487,0.6002515431380503,0.8975438171039998,0.7582756503995292,0.45369651536920513,0.6313653464802085,0.3776651692469615,0.788375859407072,0.8908976847196587
Force Directed Cluster,0.21879308731748137,0.5488252033577565,0.34776081333139397,0.42050516745776945,-0.13456576617164237,0.3155755251725204,0.21274790016365683,0.6444036814971519,0.35885253966462627,0.3078766926490263,0.030081934444493055,0.2565638643616943,0.39410014497638796,0.3982456830401936,0.3171196844312742,-0.07010149976469499,0.27207836985740397,0.48138980003504694,1.0,0.0352796128981165,0.13502700810270102,0.16571224508996757,0.26680679173229727,0.21174986468060306,0.41926487196247086,0.600099198148979,0.2735683881187065,0.38715295553065415,0.2189791051014179,0.5787705672009662,0.4208293858176435,0.3082573996425538,0.4957850814625923,0.3647440504126098,0.4294670115089812,0.20277534234348538,0.1669931246128225,0.2583280363883031,0.31058084162368016,-0.27352380323467385,0.4129842690630074,0.3152441624956403,0.4393400167623602,0.34133520194263184,0.2050173593073644,0.25332608855555555,0.4102857048520109,0.19138295395602786,0.4072866135326827
Incremental Classification Boundary,0.38954690715730894,0.36740441570618343,0.2529487695003601,0.28412788583437953,0.6436513099113389,0.48470349319639394,0.3247905323478735,0.1973719276059534,0.39241461339330796,0.32724523573203407,0.3241724952871695,0.4803762066349902,0.3301007616317387,0.31471895920649035,0.15786334329702298,0.5018874068848185,0.3137325411260368,0.18770532970221393,0.0352796128981165,1.0,-0.07006008120816577,0.16563644009137296,0.20061808727872665,0.40105838312820535,0.2551641222017547,0.18943326873682495,-0.18229549624779412,0.3717183350181592,0.5141652988727089,0.21860128737156237,0.3492464592470236,0.23332250989446848,0.43873125507439437,0.39941998283035657,0.27696073794121573,0.6543573960538043,0.5635865876894075,0.4694293305629905,0.4665400781315175,-0.131003534110602,0.4269537266599737,0.3751043399889974,0.32133536366544074,0.3800459455378581,0.558890450013112,0.08704100784506139,0.633183748201243,0.46856362374971694,0.2750860677573386
Tree Expansion,0.2024716678671215,0.13773278215412924,0.6352739537890122,0.5424529565138446,0.2023140606414352,0.4937023993843666,0.15640098994692261,0.21384743097295977,0.5478519356946415,0.5364183986870635,0.6234223786365659,0.5474760231502991,0.5844021393154955,0.5279138719240443,0.3944059801517658,0.4549288636912397,0.35729436103230305,0.4300082614081437,0.13502700810270102,-0.07006008120816577,1.0,0.13317282371841124,0.6062841810823449,0.6742990578581874,0.5564250421724222,0.22153547011515118,0.6750956470300865,0.5411092598814049,0.5115520549004525,0.4701749035994721,0.6339829324588478,0.5272256090572001,0.37900030252124745,0.09520661677244008,0.5277730933466807,0.2904589813299992,-0.05873119030003218,-0.06809065496481956,0.0948873091650102,0.10213598244722932,-0.1354053417332591,0.17657204893949385,0.5203250012811843,0.4958647654229847,0.4058470415368447,0.6847782591159253,0.14469264180024155,0.473918696066407,0.4886249331128278
Progressive Manifold Projection,0.3991663216718166,0.37672930959553247,0.47042430646729744,0.7132558212564947,0.6229486849001399,0.6673654142510118,0.4721095265079615,0.28689619310764475,0.6457774999440715,0.6373912647064245,0.3883922282198064,0.6724002975601493,0.6272424141493074,0.6427259876700476,0.3183620954219913,0.3784215230950861,0.8597610377257028,0.7595828244492444,0.16571224508996757,0.16563644009137296,0.13317282371841124,1.0,0.6715538616083566,0.45645214762773423,0.21118335631834964,0.7263719977186398,0.5310919231685763,0.651101134784285,0.6637191198576705,0.6147030215541234,0.6440439986714105,0.5507974951552179,0.7074235890511141,0.2628957752789581,0.6399111055320451,0.43992024060969154,0.47634160003570525,0.3433408204766999,0.5012442988963363,-0.02452434431976432,0.2763588377240009,0.4610731755429477,0.6492486357240872,0.5311259335849159,0.34447376442556066,0.40884124399416666,0.3433408204766999,0.6990252954195318,0.6660618785427305
Hybrid Cluster,0.4300769887080872,0.5882042053089757,0.7515834040332154,0.9078118246873307,0.5252597168303247,0.8879193597378016,0.4868935697152184,0.5586070064981263,0.8958670171351654,0.8353765443463202,0.6800114267720363,0.8865836569038729,0.9147207234328003,0.9249109692339975,0.6487375412099001,0.6078171232458893,0.7419863709411018,0.8467506684047543,0.26680679173229727,0.20061808727872665,0.6062841810823449,0.6715538616083566,1.0,0.8189476640966267,0.5697648275640109,0.7306410403944441,0.8385425685685629,0.9330416543348631,0.7558273619644499,0.8921621362680181,0.8403055981724622,0.634097459718337,0.7320473658742749,0.4068295510314205,0.9210020098791616,0.49615792939267517,0.21165590679311233,0.13646089308833403,0.5595637103925327,-0.16939972935103545,0.06862145516956798,0.3630208976440138,0.9195452833404759,0.8872775304255162,0.5835497473344623,0.8322034229829497,0.23057185383890935,0.890519338677804,0.91920184698483
Non Interactive,0.6815451536966367,0.5650362944303106,0.9223174751905034,0.8459572588935083,0.5861201604225954,0.9113848825563841,0.6758976012326275,0.6117489459117068,0.8437333566422515,0.9282899535964148,0.8181910701033969,0.9007066035842515,0.8698596311038151,0.9070519571802413,0.785996866104248,0.8474994424971422,0.6544748670189837,0.6547194437612488,0.21174986468060306,0.40105838312820535,0.6742990578581874,0.45645214762773423,0.8189476640966267,1.0,0.8406014968037798,0.5187315702465561,0.7272388551343062,0.8944084804391604,0.920321343708248,0.7403688598325908,0.8688011536813386,0.8070173565373026,0.6747308198283668,0.6706906044114268,0.8604758070111663,0.6692819640264355,0.42637649130168004,0.3477817868464501,0.4682600465896143,0.09576599927655872,0.307377873877621,0.4868761106716317,0.8883995073845137,0.8195914281349723,0.8393202253299061,0.8402626121441954,0.34778178684645006,0.757586227192941,0.8782591489598977
Semi Interactive,0.6487053122646947,0.6278204644102784,0.8873471475037884,0.7083042678886552,0.24572300832333718,0.7095265583833921,0.6303495005433303,0.7274458383348686,0.6344843144466843,0.8280002279027407,0.7017900558182517,0.667540177008595,0.7371121253833726,0.7702618686037803,0.7782050514329659,0.6188849520535783,0.3993620100099271,0.5213272277306369,0.41926487196247086,0.2551641222017547,0.5564250421724222,0.21118335631834964,0.5697648275640109,0.8406014968037798,1.0,0.4786285776542143,0.5858016851064023,0.732646226172521,0.7603833865814698,0.6313294555556165,0.6987805098716984,0.7013615115421133,0.5014996078405501,0.6969212908480857,0.715928081654272,0.43348956188784227,0.2764483099550849,0.2817871326050849,0.2195645248140586,0.19088805757118657,0.3494736924984128,0.3594709112277257,0.7646745699900663,0.7060962836228815,0.6787127112075895,0.6983848172502677,0.32723667012203417,0.4639564538340996,0.7498077120301165
Fully Interactive,0.5876963958715307,0.7875355976593937,0.5921964233146148,0.8418858995509884,0.32816292782600265,0.703681566706788,0.6499555709619099,0.7446857337387297,0.7513568283573805,0.7221383932719226,0.4492978246128826,0.7260120458500374,0.7878682393122163,0.7975886538929159,0.5746786361650079,0.2781665400550634,0.8195715091330986,0.9057286932076067,0.600099198148979,0.18943326873682495,0.22153547011515118,0.7263719977186398,0.7306410403944441,0.5187315702465561,0.4786285776542143,1.0,0.674264703163517,0.8004896481666598,0.6282000081711563,0.896004479408684,0.7462710116179455,0.5493494484303217,0.8645847334560214,0.4832289266888389,0.8551128577882434,0.26404445070327587,0.3124311736018643,0.22180276504481197,0.4887964378675008,-0.24243558039781765,0.2359253577103877,0.5618006477335896,0.8166433620333531,0.7035066448248031,0.39753897085244444,0.5383819020581654,0.42813091857486957,0.7129048852553022,0.8166457263451592
Emotional Experience,0.4900028355378908,0.48741499533473365,0.7573836409006265,0.7913399089967371,0.16353818542306922,0.6909970553836028,0.5874937135645767,0.5812690230551855,0.7041464316743095,0.7889045928955211,0.6411827669961236,0.7319619559649226,0.7975868698489766,0.8213337944331367,0.6918929618393667,0.48517966449118527,0.6782008994921099,0.7374412444276257,0.2735683881187065,-0.18229549624779412,0.6750956470300865,0.5310919231685763,0.8385425685685629,0.7272388551343062,0.5858016851064023,0.674264703163517,1.0,0.7776407428518696,0.6213766862262243,0.8021952149038386,0.7925889537048479,0.6730062843989825,0.5725916374931993,0.4340051843919914,0.8530948000520164,0.19484716128272395,0.04483718377759071,-0.04048635839544393,0.2507533919640748,-0.01799393706464175,-0.03578281334822568,0.3237156070437802,0.8093503897033126,0.707733597841621,0.46891104625796803,0.8803582330469626,0.07197574825856694,0.6507999177708542,0.8228786494948386
Cognitive Optimization,0.6476373189165767,0.76218148062761,0.8572636216295457,0.972962849956518,0.5948292972051744,0.9635485030734023,0.6957808286374204,0.7420821107881244,0.9658398079385657,0.9237230398522359,0.7192412649081715,0.9470103914531167,0.9812400753318393,0.9871490107732456,0.7685357632541968,0.6940423795857624,0.7889482765462983,0.9003433306396753,0.38715295553065415,0.3717183350181592,0.5411092598814049,0.651101134784285,0.9330416543348631,0.8944084804391604,0.732646226172521,0.8004896481666598,0.7776407428518696,1.0,0.8706261284428258,0.9405449999966361,0.8879772344264377,0.7662474617915943,0.8390101168890459,0.6142025071262114,0.976511058436897,0.590706473102631,0.40210350968844416,0.32021582366957607,0.6121425711713748,-0.0338689813496667,0.21838371950982852,0.5668944998534068,0.9878002424630443,0.9181194313595448,0.7175789497561837,0.8011860122354286,0.38179578975987916,0.876086089715831,0.9811541209767499
Immersive Experience,0.7340612744047862,0.5798545545656899,0.8743994751180327,0.868634710821198,0.7223409123987758,0.9048090973879952,0.7198312908412792,0.5643142965155874,0.8434462144141551,0.9412181259751301,0.7557739062658094,0.9018243693463015,0.834886762501285,0.8734928406846995,0.7109896439195618,0.814093990668609,0.8096654449516333,0.7140149094380592,0.2189791051014179,0.5141652988727089,0.5115520549004525,0.6637191198576705,0.7558273619644499,0.920321343708248,0.7603833865814698,0.6282000081711563,0.6213766862262243,0.8706261284428258,1.0,0.7172462665435282,0.8940918325066451,0.833072593521853,0.7878889778002554,0.6651467639097232,0.8309586073982639,0.7317621962143392,0.6249125662009903,0.5090348201898308,0.5235769437873706,0.14543852005423744,0.4398548198686919,0.5951895415409886,0.8675810856201996,0.7671069072078079,0.8047113580901866,0.6983848172502677,0.5090348201898309,0.7802903996300768,0.8551481326683534
